Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TSADP-49,Chrome 70.0.3538.110,Alamcena los test cases de menu mi cuenta,2018-12-11 15:46:21,2018-12-11 15:47:30,1m - 8.983s,FAILED
,,,,,,
Test Cases/PREGAME/SportBook/MenuMiCuenta(ADP-50),Chrome 70.0.3538.110,"veririfca qur se vean los siugientes opciones:
  Reportes
    Balance diario
    Transacciones
    RollOver 


ADP-49",2018-12-11 15:46:22,2018-12-11 15:47:06,44.081s,PASSED
excelFile = new java.io.File(excelLabelFileLoc),Chrome 70.0.3538.110,,2018-12-11 15:46:23,2018-12-11 15:46:23,0.006s,PASSED
fis = new java.io.FileInputStream(excelFile),Chrome 70.0.3538.110,,2018-12-11 15:46:23,2018-12-11 15:46:23,0.038s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 70.0.3538.110,,2018-12-11 15:46:23,2018-12-11 15:46:25,1.362s,PASSED
"languageKey = """"",Chrome 70.0.3538.110,,2018-12-11 15:46:25,2018-12-11 15:46:25,0.001s,PASSED
balanceDiarioDes = null,Chrome 70.0.3538.110,,2018-12-11 15:46:25,2018-12-11 15:46:25,0.001s,PASSED
reportesDes = null,Chrome 70.0.3538.110,,2018-12-11 15:46:25,2018-12-11 15:46:25,0.001s,PASSED
transaccionesDesc = null,Chrome 70.0.3538.110,,2018-12-11 15:46:25,2018-12-11 15:46:25,0.001s,PASSED
rollOverDesc = null,Chrome 70.0.3538.110,,2018-12-11 15:46:25,2018-12-11 15:46:25,0.002s,PASSED
validateRollOverFlag = null,Chrome 70.0.3538.110,,2018-12-11 15:46:25,2018-12-11 15:46:25,0.001s,PASSED
"callTestCase(findTestCase(""PREGAME/SportBook/Login_Successfull""), [""url"":findTestData(""PreGameTestData"").getValue(3, 1), ""loginUser"":findTestData(""PreGameTestData"").getValue(1, 1), ""loginPassword"":findTestData(""PreGameTestData"").getValue(2, 1)], STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-11 15:46:25,2018-12-11 15:46:59,34.288s,PASSED
waitForPageLoad(4),Chrome 70.0.3538.110,,2018-12-11 15:46:59,2018-12-11 15:46:59,0.022s,PASSED
"waitForElementNotVisible(findTestObject(""Repositorio Sportbook/Init_Modal""), 4)",Chrome 70.0.3538.110,,2018-12-11 15:46:59,2018-12-11 15:47:03,4.122s,PASSED
"if (siteType == ""Premium"")",Chrome 70.0.3538.110,,2018-12-11 15:47:03,2018-12-11 15:47:03,0.139s,PASSED
url = getUrl(),Chrome 70.0.3538.110,,2018-12-11 15:47:03,2018-12-11 15:47:03,0.025s,PASSED
"waitForElementVisible(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_BALANCE DIARIO""), 2)",Chrome 70.0.3538.110,,2018-12-11 15:47:03,2018-12-11 15:47:03,0.038s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_REPORTES""))",Chrome 70.0.3538.110,,2018-12-11 15:47:03,2018-12-11 15:47:03,0.037s,PASSED
"verifyElementVisible(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_TRANSACCIONES""))",Chrome 70.0.3538.110,,2018-12-11 15:47:03,2018-12-11 15:47:03,0.046s,PASSED
delay(2),Chrome 70.0.3538.110,,2018-12-11 15:47:03,2018-12-11 15:47:05,2.001s,PASSED
"balanceDiarioDes = getAttribute(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_BALANCE DIARIO""), ""textContent"", STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-11 15:47:05,2018-12-11 15:47:05,0.028s,PASSED
"reportesDes = getAttribute(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_REPORTES""), ""textContent"", STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-11 15:47:05,2018-12-11 15:47:05,0.019s,PASSED
"transaccionesDesc = getAttribute(findTestObject(""Repositorio Sportbook/MiCuenta(ADP-50)/button_TRANSACCIONES""), ""textContent"", STOP_ON_FAILURE)",Chrome 70.0.3538.110,,2018-12-11 15:47:05,2018-12-11 15:47:05,0.022s,PASSED
"languageKey = url.replace(findTestData(""PreGameTestData"").getValue(3, 1), """")",Chrome 70.0.3538.110,,2018-12-11 15:47:05,2018-12-11 15:47:06,0.022s,PASSED
"languageKey = languageKey.substring(0, 3)",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.002s,PASSED
sheet = workbook.getSheet(languageKey),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.002s,PASSED
"validateRollOverFlag = findTestData(""PreGameTestData"").getValue(5, 1)",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.031s,PASSED
assert reportesDes == getCell(0).toString(),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.226s,PASSED
assert balanceDiarioDes == getCell(1).toString(),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
assert transaccionesDesc == getCell(2).toString(),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.000s,PASSED
transWagerAmountLoc = getCell(0).toString(),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.002s,PASSED
wagerStatusLabel = getCell(1).toString(),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
"if (validateRollOverFlag == ""Si"")",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.000s,PASSED
,,,,,,
